       Mount Massive,         Mount Elbert,        Mount Harvard,          Blanca Peak,     Uncompahgre Peak,        La Plata Peak,        Crestone Peak,        Mount Lincoln,           Grays Peak,         Mount Antero,         Torreys Peak,          Castle Peak,        Quandary Peak,   Dtc North Heliport, |
       Mount Massive,                    0,                    5,                   20,                  123,                   94,                   11,                   97,                   23,                   47,                   38,                   47,                   24,                   24,                   90, 
        Mount Elbert,                    5,                    0,                   15,                  118,                   91,                    6,                   92,                   24,                   49,                   32,                   49,                   24,                   26,                   90, 
       Mount Harvard,                   20,                   15,                    0,                  104,                   85,                   11,                   77,                   32,                   56,                   18,                   56,                   30,                   35,                   91, 
         Blanca Peak,                  123,                  118,                  104,                    0,                  113,                  114,                   27,                  127,                  143,                   86,                  144,                  124,                  130,                  146, 
    Uncompahgre Peak,                   94,                   91,                   85,                  113,                    0,                   85,                  102,                  115,                  140,                   78,                  140,                   72,                  117,                  175, 
       La Plata Peak,                   11,                    6,                   11,                  114,                   85,                    0,                   88,                   29,                   55,                   27,                   55,                   21,                   32,                   94, 
       Crestone Peak,                   97,                   92,                   77,                   27,                  102,                   88,                    0,                  100,                  116,                   61,                  116,                  100,                  103,                  121, 
       Mount Lincoln,                   23,                   24,                   32,                  127,                  115,                   29,                  100,                    0,                   25,                   47,                   25,                   47,                    3,                   68, 
          Grays Peak,                   47,                   49,                   56,                  143,                  140,                   55,                  116,                   25,                    0,                   70,                    1,                   71,                   22,                   49, 
        Mount Antero,                   38,                   32,                   18,                   86,                   78,                   27,                   61,                   47,                   70,                    0,                   71,                   40,                   51,                   98, 
        Torreys Peak,                   47,                   49,                   56,                  144,                  140,                   55,                  116,                   25,                    1,                   71,                    0,                   71,                   23,                   49, 
         Castle Peak,                   24,                   24,                   30,                  124,                   72,                   21,                  100,                   47,                   71,                   40,                   71,                    0,                   48,                  113, 
       Quandary Peak,                   24,                   26,                   35,                  130,                  117,                   32,                  103,                    3,                   22,                   51,                   23,                   48,                    0,                   66, 
  Dtc North Heliport,                   90,                   90,                   91,                  146,                  175,                   94,                  121,                   68,                   49,                   98,                   49,                  113,                   66,                    0, 
