                 one,                three,                 four,             Brighton,                  two,              Alamosa,            Littleton,       Pagosa Springs,          Springfield,              Boulder,           Las Animas,           Broomfield,               Salida,       Cheyenne Wells,              Conejos,           Georgetown,             San Luis,               Ordway, |
                 one,                    0,                 1617,                 6225,                  260,                  365,                  294,                  266,                  284,                  432,                  202,                  383,                  222,                  213,                  373,                  304,                  200,                  322,                  335, 
               three,                 1617,                    0,                 7727,                 1511,                 1593,                 1357,                 1495,                 1340,                 1337,                 1529,                 1378,                 1518,                 1440,                 1442,                 1334,                 1502,                 1335,                 1404, 
                four,                 6225,                 7727,                    0,                 6422,                 6413,                 6518,                 6436,                 6504,                 6624,                 6380,                 6572,                 6398,                 6434,                 6529,                 6528,                 6396,                 6546,                 6529, 
            Brighton,                  260,                 1511,                 6422,                    0,                  143,                  177,                   16,                  236,                  202,                   59,                  150,                   39,                  132,                  117,                  209,                   72,                  189,                  111, 
                 two,                  365,                 1593,                 6413,                  143,                    0,                  310,                  152,                  375,                  257,                  187,                  219,                  173,                  275,                  152,                  343,                  211,                  314,                  207, 
             Alamosa,                  294,                 1357,                 6518,                  177,                  310,                    0,                  163,                   74,                  179,                  175,                  150,                  169,                   86,                  194,                   33,                  147,                   28,                  121, 
           Littleton,                  266,                 1495,                 6436,                   16,                  152,                  163,                    0,                  224,                  188,                   65,                  136,                   44,                  123,                  108,                  195,                   71,                  174,                   96, 
      Pagosa Springs,                  284,                 1340,                 6504,                  236,                  375,                   74,                  224,                    0,                  248,                  219,                  223,                  219,                  114,                  267,                   48,                  188,                   89,                  194, 
         Springfield,                  432,                 1337,                 6624,                  202,                  257,                  179,                  188,                  248,                    0,                  247,                   53,                  228,                  229,                  106,                  200,                  236,                  159,                   98, 
             Boulder,                  202,                 1529,                 6380,                   59,                  187,                  175,                   65,                  219,                  247,                    0,                  194,                   21,                  105,                  173,                  203,                   31,                  194,                  150, 
          Las Animas,                  383,                 1378,                 6572,                  150,                  219,                  150,                  136,                  223,                   53,                  194,                    0,                  175,                  184,                   68,                  177,                  185,                  136,                   47, 
          Broomfield,                  222,                 1518,                 6398,                   39,                  173,                  169,                   44,                  219,                  228,                   21,                  175,                    0,                  108,                  152,                  199,                   37,                  186,                  131, 
              Salida,                  213,                 1440,                 6434,                  132,                  275,                   86,                  123,                  114,                  229,                  105,                  184,                  108,                    0,                  200,                  106,                   74,                  112,                  140, 
      Cheyenne Wells,                  373,                 1442,                 6529,                  117,                  152,                  194,                  108,                  267,                  106,                  173,                   68,                  152,                  200,                    0,                  225,                  174,                  188,                   74, 
             Conejos,                  304,                 1334,                 6528,                  209,                  343,                   33,                  195,                   48,                  200,                  203,                  177,                  199,                  106,                  225,                    0,                  174,                   42,                  151, 
          Georgetown,                  200,                 1502,                 6396,                   72,                  211,                  147,                   71,                  188,                  236,                   31,                  185,                   37,                   74,                  174,                  174,                    0,                  167,                  138, 
            San Luis,                  322,                 1335,                 6546,                  189,                  314,                   28,                  174,                   89,                  159,                  194,                  136,                  186,                  112,                  188,                   42,                  167,                    0,                  115, 
              Ordway,                  335,                 1404,                 6529,                  111,                  207,                  121,                   96,                  194,                   98,                  150,                   47,                  131,                  140,                   74,                  151,                  138,                  115,                    0, 
